bucket_owner,bucket,datetime,ip,requestor_id,request_id,operation,key,http_method_uri_proto,http_status,s3_error,bytes_sent,object_size,total_time,turn_around_time,referer,user_agent,cid,ec,ea,an,av,sr
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:45:21 +0000,24.193.78.37,-,A3E760826970CE58,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,25,25,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:53:33 +0000,24.193.78.37,-,544250155EDB98E8,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,70,69,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:56:23 +0000,24.193.78.37,-,E61CD78758254840,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,31,30,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:56:25 +0000,24.193.78.37,-,CAE85BCCF044EA69,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,53,52,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:56:26 +0000,24.193.78.37,-,4A0B20019EC1CB45,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,65,65,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:43:09 +0000,24.193.78.37,-,7DF1572A24BED648,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=application&ea=editor&el= HTTP/1.1,200,-,1,1,35,35,-,-,['FOO'],['application'],['editor'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:28:33 +0000,24.193.78.37,-,472DDC97E9A3C1B3,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=application&ea=open&el= HTTP/1.1,200,-,1,1,35,34,-,-,['FOO'],['application'],['open'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:53:28 +0000,24.193.78.37,-,AD7C9A4395A96B2B,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=application&ea=editor&el= HTTP/1.1,200,-,1,1,60,60,-,-,['FOO'],['application'],['editor'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:53:37 +0000,24.193.78.37,-,4D5A39717FB7D91E,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,181,180,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:56:21 +0000,24.193.78.37,-,778E99F84AEB68D6,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=application&ea=open&el= HTTP/1.1,200,-,1,1,26,26,-,-,['FOO'],['application'],['open'],['Rodeo'],['0.3.4'],
